geohash,weight
u339b8,31
u339bb,49
u339c0,56
u339c8,29
u339cb,21
u333z3,46
u333z9,29
u339b1,52
u339b3,34
u339b9,58
u339bc,24
u339c1,54
u339c3,52
u339c9,41
u339cc,35
u339f1,53
u339f3,54
u339fc,29
u333yd,23
u333yf,24
u333z4,45
u333z6,35
u333zd,31
u333zf,46
u339b4,27
u339b6,27
u339bd,60
u339bf,42
u339c4,54
u339cd,33
u339cf,28
u339f4,55
u339f6,46
u339fd,57
u339ff,31
u339g4,42
u339g6,43
u333y5,36
u333y7,60
u333yg,24
u333z5,52
u333z7,23
u333ze,60
u333zg,59
u339b5,20
u339b7,47
u339be,31
u339bg,24
u339c5,38
u339c7,55
u339ce,40
u339cg,57
u339f5,32
u339f7,44
u339fe,51
u339fg,51
u339g5,20
u339g7,21
u339ge,55
u333vu,55
u333yh,23
u333yk,23
u333ys,51
u333yu,39
u333zh,31
u333zk,37
u333zs,42
u333zu,28
u339bh,60
u339bk,38
u339bs,25
u339bu,34
u339ch,29
u339ck,23
u339cs,29
u339fh,30
u339fk,29
u339fs,57
u339fu,39
u339gh,52
u339gk,24
u339gs,37
u339gu,49
u339uh,59
u333vt,36
u333vv,54
u333yj,28
u333ym,37
u333yt,30
u333yv,38
u333zm,60
u333zt,59
u333zv,54
u339bj,39
u339bt,35
u339bv,31
u339cj,38
u339cm,58
u339ct,42
u339cv,26
u339fj,59
u339fm,42
u339ft,22
u339fv,40
u339gj,26
u339gm,23
u339gt,44
u339gv,30
u339uj,56
u339um,44
u339ut,37
u333vn,41
u333vq,28
u333vw,30
u333vy,47
u333yn,33
u333yq,23
u333yw,60
u333yy,23
u333zn,31
u333zq,55
u333zw,35
u333zy,53
u339bn,45
u339bw,53
u339by,47
u339cn,25
u339cq,24
u339cw,31
u339cy,49
u339fn,45
u339fq,40
u339fw,54
u339fy,37
u339gn,20
u339gq,46
u339gw,50
u339un,23
u339uq,57
u339uw,54
u339uy,26
u333uz,32
u333vp,52
u333vr,56
u333vx,30
u333vz,51
u333yp,36
u333yr,26
u333yx,55
u333yz,53
u333zp,21
u333zr,34
u333zx,52
u333zz,53
u339bp,52
u339br,55
u339bx,29
u339bz,38
u339cp,52
u339cr,21
u339cx,33
u339cz,59
u339fp,46
u339fr,59
u339fx,58
u339fz,59
u339gp,59
u339gr,25
u339gx,49
u339gz,45
u339up,36
u339ur,31
u339ux,21
u339uz,43
u339vp,51
u336hb,47
u336j0,33
u336j2,49
u336j8,33
u336jb,36
u336n0,25
u336n2,58
u336n8,57
u336nb,33
u336p0,21
u336p2,38
u336p8,47
u336pb,38
u33d00,39
u33d02,52
u33d08,24
u33d0b,45
u33d10,53
u33d12,47
u33d1b,30
u33d42,37
u33d48,28
u33d4b,40
u33d52,50
u33d58,25
u33d5b,28
u33dh2,32
u33dh8,40
u33dhb,49
u33dj0,46
u33dj2,58
u336h3,49
u336h9,53
u336hc,56
u336j1,39
u336j3,30
u336j9,51
u336jc,46
u336n1,24
u336n3,32
u336n9,43
u336nc,31
u336p3,38
u336p9,38
u336pc,38
u33d01,44
u33d03,55
u33d0c,34
u33d11,54
u33d13,37
u33d19,42
u33d1c,29
u33d43,33
u33d49,36
u33d4c,39
u33d53,37
u33d59,22
u33d5c,27
u33dh1,25
u33dh3,32
u33dh9,54
u33dhc,54
u33dj1,34
u33dj3,24
u33dj9,63
u336h6,46
u336hd,46
u336hf,58
u336j4,21
u336j6,25
u336jd,43
u336jf,49
u336n4,28
u336n6,52
u336nd,55
u336p4,35
u336p6,61
u336pf,49
u33d04,25
u33d06,55
u33d0d,25
u33d0f,52
u33d14,37
u33d16,40
u33d1d,54
u33d1f,24
u33d44,45
u33d46,48
u33d4d,50
u33d4f,31
u33d54,42
u33d56,39
u33d5d,33
u33d5f,57
u33dh4,60
u33dh6,44
u33dhf,61
u33dj4,35
u33dj6,40
u33djd,53
u33djf,24
u336h5,23
u336h7,40
u336he,48
u336hg,40
u336j5,24
u336j7,48
u336je,44
u336jg,43
u336n5,52
u336n7,52
u336ne,34
u336ng,33
u336p5,46
u336p7,32
u336pe,44
u336pg,62
u33d05,34
u33d07,29
u33d0g,42
u33d15,59
u33d17,48
u33d1e,55
u33d1g,55
u33d45,39
u33d4e,58
u33d4g,54
u33d55,24
u33d57,24
u33d5e,46
u33d5g,65
u33dh5,58
u33dh7,61
u33dhe,52
u33dhg,49
u33dj5,71
u33dj7,55
u33dje,58
u33djg,34
u3365u,46
u336hk,20
u336hs,44
u336hu,30
u336jh,49
u336jk,49
u336js,53
u336ju,49
u336nh,42
u336nk,52
u336nu,35
u336ph,59
u336pk,40
u336ps,55
u336pu,64
u33d0h,44
u33d0k,25
u33d0s,35
u33d0u,25
u33d1h,54
u33d1k,58
u33d1s,47
u33d1u,22
u33d4h,39
u33d4k,57
u33d4s,44
u33d4u,41
u33d5h,36
u33d5k,50
u33d5s,39
u33d5u,40
u33dhh,64
u33dhk,53
u33dhs,50
u33dhu,54
u33djh,77
u33djk,57
